commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;isEqualBreakingChange;isEqualDeprecated;isEqualJavaDoc
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector;;;;;true;false;false;;true;true;true
