commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
50a9a0aec4510f7c1450281d438c86eefffa9330;Change in Return Type Method;Method;<br>method <code>clazz(String className)</code><br>changed the return type<br>in <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;public Builder clazz(String className);com.squareup.leakcanary.ExcludedRefs.Builder;true;false;false
50a9a0aec4510f7c1450281d438c86eefffa9330;Add Method;Method;<br>method <code>builder()</code><br>added in <code>com.squareup.leakcanary.ExcludedRefs</code><br>;public static Builder builder();com.squareup.leakcanary.ExcludedRefs;false;false;false
ea0af1d6be08ba4ac7eda913219456286ab0c4f8;Add Method;Method;<br>method <code>requestWritePermission()</code><br>added in <code>com.squareup.leakcanary.DefaultLeakDirectoryProvider</code><br>;@Override public void requestWritePermission();com.squareup.leakcanary.DefaultLeakDirectoryProvider;false;false;false
ea0af1d6be08ba4ac7eda913219456286ab0c4f8;Add Method;Method;<br>method <code>setDisplayLeakActivityDirectoryProvider(LeakDirectoryProvider leakDirectoryProvider)</code><br>added in <code>com.squareup.leakcanary.LeakCanary</code><br>;public static void setDisplayLeakActivityDirectoryProvider(LeakDirectoryProvider leakDirectoryProvider);com.squareup.leakcanary.LeakCanary;false;false;false
78130af3f369d03b7da2bb2c24a4536abbe11f2b;Remove Method;Method;<br>method <code>leakDetected(boolean excludedLeak, String className, LeakTrace leakTrace, long analysisDurationMs)</code><br>removed from <code>com.squareup.leakcanary.AnalysisResult</code><br>;public static AnalysisResult leakDetected(boolean excludedLeak, String className, LeakTrace leakTrace, long analysisDurationMs);com.squareup.leakcanary.AnalysisResult;true;false;false
78130af3f369d03b7da2bb2c24a4536abbe11f2b;Add Method;Method;<br>method <code>leakDetected(boolean excludedLeak, String className, LeakTrace leakTrace, long retainedHeapSize, long analysisDurationMs)</code><br>added in <code>com.squareup.leakcanary.AnalysisResult</code><br>;public static AnalysisResult leakDetected(boolean excludedLeak, String className, LeakTrace leakTrace, long retainedHeapSize, long analysisDurationMs);com.squareup.leakcanary.AnalysisResult;false;false;false
bf29548e7d15523d2b8d58bcb857105ae9b14efa;Remove Method;Method;<br>method <code>rootClass(String rootClassName)</code><br>removed from <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;public Builder rootClass(String rootClassName);com.squareup.leakcanary.ExcludedRefs.Builder;true;false;false
bf29548e7d15523d2b8d58bcb857105ae9b14efa;Remove Method;Method;<br>method <code>rootClass(String rootClassName, boolean always)</code><br>removed from <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;public Builder rootClass(String rootClassName, boolean always);com.squareup.leakcanary.ExcludedRefs.Builder;true;false;false
bf29548e7d15523d2b8d58bcb857105ae9b14efa;Add Method;Method;<br>method <code>rootSuperClass(String rootSuperClassName)</code><br>added in <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;public Builder rootSuperClass(String rootSuperClassName);com.squareup.leakcanary.ExcludedRefs.Builder;false;false;false
bf29548e7d15523d2b8d58bcb857105ae9b14efa;Add Method;Method;<br>method <code>rootSuperClass(String rootSuperClassName, boolean always)</code><br>added in <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;public Builder rootSuperClass(String rootSuperClassName, boolean always);com.squareup.leakcanary.ExcludedRefs.Builder;false;false;false
1b3efb4f0bc1511f539145f60b985ece7205d673;Gain Visibility in Method;Method;<br> method <code>ExcludedRefs(Map<String,Map<String,Boolean>> fieldNameByClassName, Map<String,Map<String,Boolean>> staticFieldNameByClassName, Map<String,Boolean> threadNames, Map<String,Boolean> classNames)</code><br> changed visibility from <code>private</code> to <code>default</code><br>in <code>com.squareup.leakcanary.ExcludedRefs</code><br>; ExcludedRefs(Map<String,Map<String,Boolean>> fieldNameByClassName, Map<String,Map<String,Boolean>> staticFieldNameByClassName, Map<String,Boolean> threadNames, Map<String,Boolean> classNames);com.squareup.leakcanary.ExcludedRefs;false;false;false
1b3efb4f0bc1511f539145f60b985ece7205d673;Gain Visibility in Method;Method;<br> method <code>getHeapDumpFile()</code><br> changed visibility from <code>private</code> to <code>default</code><br>in <code>com.squareup.leakcanary.AndroidHeapDumper</code><br>; File getHeapDumpFile();com.squareup.leakcanary.AndroidHeapDumper;false;false;false
1b3efb4f0bc1511f539145f60b985ece7205d673;Gain Visibility in Method;Method;<br> method <code>executeDelayedAfterIdleUnsafe(final Runnable runnable)</code><br> changed visibility from <code>private</code> to <code>default</code><br>in <code>com.squareup.leakcanary.AndroidWatchExecutor</code><br>; void executeDelayedAfterIdleUnsafe(final Runnable runnable);com.squareup.leakcanary.AndroidWatchExecutor;false;false;false
