commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
9c7f7f41144247c0158e12e9a75606387015f736;Rename Method;Method;method <code>addAdapter(LogAdapter)</code><br>renamed to <code>addLogAdapter(LogAdapter)</code><br>in <code>com.orhanobut.logger.Logger</code><br>;public static void addAdapter(LogAdapter adapter);com.orhanobut.logger.Logger;true;false;false
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Remove Method;Method;<br>method <code>DiskLogStrategy(String folder, int maxFileSize)</code><br>removed from <code>com.orhanobut.logger.DiskLogStrategy</code><br>;public DiskLogStrategy(String folder, int maxFileSize);com.orhanobut.logger.DiskLogStrategy;true;false;true
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Add Method;Method;<br>method <code>DiskLogStrategy(Handler handler)</code><br>added in <code>com.orhanobut.logger.DiskLogStrategy</code><br>;public DiskLogStrategy(Handler handler);com.orhanobut.logger.DiskLogStrategy;false;false;false
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Add Method;Method;<br>method <code>printer(Printer printer)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;public static void printer(Printer printer);com.orhanobut.logger.Logger;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Method;Method;<br>method <code>AndroidLogAdapter()</code><br>added in <code>com.orhanobut.logger.AndroidLogAdapter</code><br>;public AndroidLogAdapter();com.orhanobut.logger.AndroidLogAdapter;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Method;Method;<br>method <code>newBuilder()</code><br>added in <code>com.orhanobut.logger.CsvFormatStrategy</code><br>;public static Builder newBuilder();com.orhanobut.logger.CsvFormatStrategy;false;false;false
90f2f54fb19fce983796394dd6b59b69967f18db;Add Method;Method;<br>method <code>isLoggable(int priority, String tag)</code><br>added in <code>com.orhanobut.logger.AndroidCsvFileLogger</code><br>;@Override public boolean isLoggable(int priority, String tag);com.orhanobut.logger.AndroidCsvFileLogger;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>init()</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;public static Settings init();com.orhanobut.logger.Logger;true;false;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>init(String tag)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;public static Settings init(String tag);com.orhanobut.logger.Logger;true;false;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>resetSettings()</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;public static void resetSettings();com.orhanobut.logger.Logger;true;false;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Method;Method;<br>method <code>addAdapter(LogAdapter adapter)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;public static void addAdapter(LogAdapter adapter);com.orhanobut.logger.Logger;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Method;Method;<br>method <code>clearLogAdapters()</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;public static void clearLogAdapters();com.orhanobut.logger.Logger;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Method;Method;<br>method <code>AndroidLogAdapter(FormatStrategy formatStrategy)</code><br>added in <code>com.orhanobut.logger.AndroidLogAdapter</code><br>;public AndroidLogAdapter(FormatStrategy formatStrategy);com.orhanobut.logger.AndroidLogAdapter;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Method;Method;<br>method <code>isLoggable(int priority, String tag)</code><br>added in <code>com.orhanobut.logger.AndroidLogAdapter</code><br>;@Override public boolean isLoggable(int priority, String tag);com.orhanobut.logger.AndroidLogAdapter;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Method;Method;<br>method <code>log(int priority, String tag, String message)</code><br>added in <code>com.orhanobut.logger.AndroidLogAdapter</code><br>;@Override public void log(int priority, String tag, String message);com.orhanobut.logger.AndroidLogAdapter;false;false;false
6b9d213c1f38b256a294f6b70c49f7cc8b4528de;Remove Method;Method;<br>method <code>t(int methodCount)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;public static Printer t(int methodCount);com.orhanobut.logger.Logger;true;false;true
6b9d213c1f38b256a294f6b70c49f7cc8b4528de;Remove Method;Method;<br>method <code>t(String tag, int methodCount)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;public static Printer t(String tag, int methodCount);com.orhanobut.logger.Logger;true;false;true
