commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Add Type;Type;<br>Type <code>retrofit.MoshiConverterFactory</code> added<br>;MoshiConverterFactory;retrofit.MoshiConverterFactory;false;false;true
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Add Type;Type;<br>Type <code>retrofit.SimpleXmlConverterFactory</code> added<br>;SimpleXmlConverterFactory;retrofit.SimpleXmlConverterFactory;false;false;true
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Add Type;Type;<br>Type <code>retrofit.ProtoConverterFactory</code> added<br>;ProtoConverterFactory;retrofit.ProtoConverterFactory;false;false;true
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Add Type;Type;<br>Type <code>retrofit.JacksonConverterFactory</code> added<br>;JacksonConverterFactory;retrofit.JacksonConverterFactory;false;false;true
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Lost Visibility in Type;Type;<br> type <code>retrofit.GsonConverter</code><br> changed visibility from <code>public</code> to <code>default</code><br>;GsonConverter;retrofit.GsonConverter;true;false;false
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Lost Visibility in Type;Type;<br> type <code>retrofit.WireConverter</code><br> changed visibility from <code>public</code> to <code>default</code><br>;WireConverter;retrofit.WireConverter;true;false;false
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Lost Visibility in Type;Type;<br> type <code>retrofit.MoshiConverter</code><br> changed visibility from <code>public</code> to <code>default</code><br>;MoshiConverter;retrofit.MoshiConverter;true;false;false
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Lost Visibility in Type;Type;<br> type <code>retrofit.SimpleXmlConverter</code><br> changed visibility from <code>public</code> to <code>default</code><br>;SimpleXmlConverter;retrofit.SimpleXmlConverter;true;false;false
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Lost Visibility in Type;Type;<br> type <code>retrofit.ProtoConverter</code><br> changed visibility from <code>public</code> to <code>default</code><br>;ProtoConverter;retrofit.ProtoConverter;true;false;false
fe6d0f9b2a68063a086fa9da80d04293fbe3becf;Lost Visibility in Type;Type;<br> type <code>retrofit.JacksonConverter</code><br> changed visibility from <code>public</code> to <code>default</code><br>;JacksonConverter;retrofit.JacksonConverter;true;false;false
2fdcf0edc93b295f90d2f57c2e4023df8a40e4f0;Add Type;Type;<br>Type <code>retrofit.MoshiConverter</code> added<br>;MoshiConverter;retrofit.MoshiConverter;false;false;true
580d31ae906ac28f608427d4c4d2318a0e8b658a;Rename Type;Type;type <code>retrofit.MockRestAdapter</code><br>renamed to<br><code>retrofit.MockRetrofit</code><br>;MockRestAdapter;retrofit.MockRestAdapter;true;false;true
580d31ae906ac28f608427d4c4d2318a0e8b658a;Rename Type;Type;type <code>retrofit.RestAdapter</code><br>renamed to<br><code>retrofit.Retrofit</code><br>;RestAdapter;retrofit.RestAdapter;true;false;true
580d31ae906ac28f608427d4c4d2318a0e8b658a;Remove Type;Type;<br>type <code>retrofit.RestAdapter.Builder</code> <br>was removed<br>;Builder;retrofit.RestAdapter.Builder;true;false;true
580d31ae906ac28f608427d4c4d2318a0e8b658a;Add Type;Type;<br>Type <code>retrofit.Retrofit.Builder</code> added<br>;Builder;retrofit.Retrofit.Builder;false;false;true
72c2233840b1fac323b8f227ab77dfdc7edbbb95;Gain Visibility in Type;Type;<br> type <code>retrofit.Platform.Android</code><br> changed visibility from <code>private</code> to <code>default</code><br>;Android;retrofit.Platform.Android;false;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.GsonConverter</code><br>moved to<br><code>retrofit.GsonConverter</code><br>;GsonConverter;retrofit.converter.GsonConverter;true;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.Converter</code><br>moved to<br><code>retrofit.Converter</code><br>;Converter;retrofit.converter.Converter;true;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.WireConverter</code><br>moved to<br><code>retrofit.WireConverter</code><br>;WireConverter;retrofit.converter.WireConverter;true;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.SimpleXmlConverter</code><br>moved to<br><code>retrofit.SimpleXmlConverter</code><br>;SimpleXmlConverter;retrofit.converter.SimpleXmlConverter;true;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.ProtoConverter</code><br>moved to<br><code>retrofit.ProtoConverter</code><br>;ProtoConverter;retrofit.converter.ProtoConverter;true;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.JacksonConverter</code><br>moved to<br><code>retrofit.JacksonConverter</code><br>;JacksonConverter;retrofit.converter.JacksonConverter;true;false;true
c0ac0cfff54a27232e9aca9715636b9c27a7bef5;Rename Type;Type;type <code>retrofit.converter.SimpleXMLConverter</code><br>renamed to<br><code>retrofit.converter.SimpleXmlConverter</code><br>;SimpleXMLConverter;retrofit.converter.SimpleXMLConverter;true;false;true
d5cef723139d51ee7a4569f6631a2d950b68e3d2;Remove Type;Type;<br>type <code>retrofit.android.AndroidMockValuePersistence</code> <br>was removed<br>;AndroidMockValuePersistence;retrofit.android.AndroidMockValuePersistence;true;false;true
d5cef723139d51ee7a4569f6631a2d950b68e3d2;Remove Type;Type;<br>type <code>retrofit.MockRestAdapter.ValueChangeListener</code> <br>was removed<br>;ValueChangeListener;retrofit.MockRestAdapter.ValueChangeListener;true;false;true
2ca195069c02c48d7d862913247e08000e282439;Remove Type;Type;<br>type <code>retrofit.RetrofitError</code> <br>was removed<br>;RetrofitError;retrofit.RetrofitError;true;false;false
2ca195069c02c48d7d862913247e08000e282439;Remove Type;Type;<br>type <code>retrofit.ErrorHandler</code> <br>was removed<br>;ErrorHandler;retrofit.ErrorHandler;true;false;true
2ca195069c02c48d7d862913247e08000e282439;Remove Type;Type;<br>type <code>retrofit.RetrofitError.Kind</code> <br>was removed<br>;Kind;retrofit.RetrofitError.Kind;true;false;true
2ca195069c02c48d7d862913247e08000e282439;Add Type;Type;<br>Type <code>retrofit.Response</code> added<br>;Response;retrofit.Response;false;false;true
2ca195069c02c48d7d862913247e08000e282439;Add Type;Type;<br>Type <code>retrofit.Call</code> added<br>;Call;retrofit.Call;false;false;false
2ca195069c02c48d7d862913247e08000e282439;Add Type;Type;<br>Type <code>retrofit.CallAdapter</code> added<br>;CallAdapter;retrofit.CallAdapter;false;false;false
2ca195069c02c48d7d862913247e08000e282439;Add Type;Type;<br>Type <code>retrofit.ObservableCallAdapterFactory</code> added<br>;ObservableCallAdapterFactory;retrofit.ObservableCallAdapterFactory;false;false;true
2ca195069c02c48d7d862913247e08000e282439;Add Type;Type;<br>Type <code>retrofit.Result</code> added<br>;Result;retrofit.Result;false;false;true
297a9ee8c88e7640619d4f15dfb305f9c281f320;Remove Type;Type;<br>type <code>retrofit.RequestInterceptor</code> <br>was removed<br>;RequestInterceptor;retrofit.RequestInterceptor;true;false;true
f7c759b0f927cf5c6b5ec2cfb944ba8992bf750a;Add Final Modifier in Type;Type;type <code>retrofit.RestAdapter</code><br>received the modifier <code>final</code><br>;RestAdapter;retrofit.RestAdapter;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.FormUrlEncodedTypedOutput</code> <br>was removed<br>;FormUrlEncodedTypedOutput;retrofit.mime.FormUrlEncodedTypedOutput;true;false;false
