commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
d93a64156f2c8d2c88c761a6b65df161c584c04f;Move Type;Type;<br>type <code>retrofit2.ToStringConverterFactory</code><br>moved to<br><code>retrofit2.helpers.ToStringConverterFactory</code><br>;;retrofit2.ToStringConverterFactory;;retrofit2.helpers.ToStringConverterFactory;;;false;false;false
d93a64156f2c8d2c88c761a6b65df161c584c04f;Gain Visibility in Type;Type;<br>type <code>retrofit2.helpers.ToStringConverterFactory</code><br>changed visibility from <code>default</code>to <code>public</code><br>;;retrofit2.ToStringConverterFactory;;retrofit2.helpers.ToStringConverterFactory;default;public;false;false;false
d93a64156f2c8d2c88c761a6b65df161c584c04f;Add Type;Type;<br>type <code>retrofit2.helpers.DelegatingCallAdapterFactory</code> added<br>;;;;retrofit2.helpers.DelegatingCallAdapterFactory;;;false;false;false
d93a64156f2c8d2c88c761a6b65df161c584c04f;Add Type;Type;<br>type <code>retrofit2.helpers.NonMatchingCallAdapterFactory</code> added<br>;;;;retrofit2.helpers.NonMatchingCallAdapterFactory;;;false;false;false
d93a64156f2c8d2c88c761a6b65df161c584c04f;Add Type;Type;<br>type <code>retrofit2.helpers.NonMatchingConverterFactory</code> added<br>;;;;retrofit2.helpers.NonMatchingConverterFactory;;;false;false;false
138e2bd3c01d5dd67308d1112174bf210a03178f;Move Type;Type;<br>type <code>retrofit.PhoneProtos</code><br>moved to<br><code>retrofit2.PhoneProtos</code><br>;;retrofit.PhoneProtos;;retrofit2.PhoneProtos;;;true;false;false
138e2bd3c01d5dd67308d1112174bf210a03178f;Move Type;Type;<br>type <code>retrofit.Phone</code><br>moved to<br><code>retrofit2.Phone</code><br>;;retrofit.Phone;;retrofit2.Phone;;;true;false;false
138e2bd3c01d5dd67308d1112174bf210a03178f;Remove Type;Type;<br>type <code>retrofit.PhoneProtos.Phone.Builder</code><br>was removed<br>;;retrofit.PhoneProtos.Phone.Builder;;;;;true;false;true
138e2bd3c01d5dd67308d1112174bf210a03178f;Remove Type;Type;<br>type <code>retrofit.PhoneProtos.PhoneOrBuilder</code><br>was removed<br>;;retrofit.PhoneProtos.PhoneOrBuilder;;;;;true;false;false
138e2bd3c01d5dd67308d1112174bf210a03178f;Remove Type;Type;<br>type <code>retrofit.Phone.Builder</code><br>was removed<br>;;retrofit.Phone.Builder;;;;;true;false;false
138e2bd3c01d5dd67308d1112174bf210a03178f;Remove Type;Type;<br>type <code>retrofit.PhoneProtos.Phone</code><br>was removed<br>;;retrofit.PhoneProtos.Phone;;;;;true;false;true
138e2bd3c01d5dd67308d1112174bf210a03178f;Add Type;Type;<br>type <code>retrofit2.PhoneProtos.Phone</code> added<br>;;;;retrofit2.PhoneProtos.Phone;;;false;false;true
138e2bd3c01d5dd67308d1112174bf210a03178f;Add Type;Type;<br>type <code>retrofit2.PhoneProtos.Phone.Builder</code> added<br>;;;;retrofit2.PhoneProtos.Phone.Builder;;;false;false;true
138e2bd3c01d5dd67308d1112174bf210a03178f;Add Type;Type;<br>type <code>retrofit2.PhoneProtos.PhoneOrBuilder</code> added<br>;;;;retrofit2.PhoneProtos.PhoneOrBuilder;;;false;false;false
138e2bd3c01d5dd67308d1112174bf210a03178f;Add Type;Type;<br>type <code>retrofit2.Phone.Builder</code> added<br>;;;;retrofit2.Phone.Builder;;;false;false;false
fed4420381efab4c328f2fb25939f9950353b781;Change in Supertype;Type;<br>type <code>retrofit.Phone.Builder</code><br>changed the superType<br>from <code>Message.Builder<Phone></code><br>to <code>Message.Builder<Phone,Builder></code><br>;;retrofit.Phone.Builder;;retrofit.Phone.Builder;Message.Builder<Phone>;Message.Builder<Phone,Builder>;true;false;false
fed4420381efab4c328f2fb25939f9950353b781;Change in Supertype;Type;<br>type <code>retrofit.Phone</code><br>changed the superType<br>from <code>Message</code><br>to <code>Message<Phone,Phone.Builder></code><br>;;retrofit.Phone;;retrofit.Phone;Message;Message<Phone,Phone.Builder>;true;false;false
d1ca096e03fbc57665cfad652cfff90966c29272;Rename Type;Type;<br>type <code>retrofit.mock.ObservableBehaviorAdapter</code><br>renamed to<br><code>retrofit.mock.RxJavaBehaviorAdapter</code><br>;;retrofit.mock.ObservableBehaviorAdapter;;retrofit.mock.RxJavaBehaviorAdapter;;;true;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Move and Rename Type;Type;<br>type <code>retrofit.MockRetrofit</code><br>moved and renamed to<br><code>retrofit.mock.Behavior</code><br>;;retrofit.MockRetrofit;;retrofit.mock.Behavior;;;true;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Extract Type;Type;<br>extract type <code>retrofit.mock.CallBehaviorAdapter</code><br>from <code>retrofit.MockRetrofit</code><br>;;;;retrofit.mock.CallBehaviorAdapter;retrofit.MockRetrofit;;true;false;false
