commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.HttpLoggingInterceptor.Logger</code> <br>was removed<br>;Logger;okhttp3.logging.HttpLoggingInterceptor.Logger;true;false;false
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.LoggingEventListener</code> <br>was removed<br>;LoggingEventListener;okhttp3.logging.LoggingEventListener;true;false;true
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.LoggingEventListener.Factory</code> <br>was removed<br>;Factory;okhttp3.logging.LoggingEventListener.Factory;true;false;false
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.HttpLoggingInterceptor.Level</code> <br>was removed<br>;Level;okhttp3.logging.HttpLoggingInterceptor.Level;true;false;false
482adb2578f9f0718ee6781b89cfdab4022ef712;Remove Type;Type;<br>type <code>okhttp3.OkHttpClient</code> <br>was removed<br>;OkHttpClient;okhttp3.OkHttpClient;true;false;true
482adb2578f9f0718ee6781b89cfdab4022ef712;Remove Type;Type;<br>type <code>okhttp3.OkHttpClient.Builder</code> <br>was removed<br>;Builder;okhttp3.OkHttpClient.Builder;true;false;false
dfc811d55e8f9a1b4ca5487ef299338b680fe550;Remove Type;Type;<br>type <code>okhttp3.ConnectionSpec</code> <br>was removed<br>;ConnectionSpec;okhttp3.ConnectionSpec;true;false;true
dfc811d55e8f9a1b4ca5487ef299338b680fe550;Remove Type;Type;<br>type <code>okhttp3.ConnectionSpec.Builder</code> <br>was removed<br>;Builder;okhttp3.ConnectionSpec.Builder;true;false;false
01d3f502c93a5568caf89f5a5f58483218acb308;Remove Type;Type;<br>type <code>okhttp3.CipherSuite</code> <br>was removed<br>;CipherSuite;okhttp3.CipherSuite;true;false;true
77fcbf3d99f8274190911356f762f4af1b79ed32;Remove Type;Type;<br>type <code>okhttp3.CertificatePinner</code> <br>was removed<br>;CertificatePinner;okhttp3.CertificatePinner;true;false;true
77fcbf3d99f8274190911356f762f4af1b79ed32;Remove Type;Type;<br>type <code>okhttp3.CertificatePinner.Builder</code> <br>was removed<br>;Builder;okhttp3.CertificatePinner.Builder;true;false;true
12174cf508b1abc7d7e6c67d28d05ceda02f5c44;Remove Type;Type;<br>type <code>okhttp3.Cache</code> <br>was removed<br>;Cache;okhttp3.Cache;true;false;true
231ce18fad7b9b494a353a733c36fa9376657481;Remove Type;Type;<br>type <code>okhttp3.Challenge</code> <br>was removed<br>;Challenge;okhttp3.Challenge;true;false;true
5d76a98a8680505db0d0b03d0245b747ec908517;Remove Type;Type;<br>type <code>okhttp3.Address</code> <br>was removed<br>;Address;okhttp3.Address;true;false;true
653a3c163d9c7d08274691bdc7f61dcf3417fbae;Remove Type;Type;<br>type <code>okhttp3.Handshake</code> <br>was removed<br>;Handshake;okhttp3.Handshake;true;false;true
8492bfb20b0c081674a7805e9d358df66cb21fc3;Remove Type;Type;<br>type <code>okhttp3.Route</code> <br>was removed<br>;Route;okhttp3.Route;true;false;true
