commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;isEqualBreakingChange;isEqualDeprecated;isEqualJavaDoc
01d3f502c93a5568caf89f5a5f58483218acb308;Remove Type;Type;<br>type <code>okhttp3.CipherSuite</code><br>was removed<br>;;okhttp3.CipherSuite;;;;;true;false;true;;01d3f502c93a5568caf89f5a5f58483218acb308;Remove Type;Type;<br>type <code>okhttp3.CipherSuite</code> <br>was removed<br>;okhttp3.CipherSuite;okhttp3.CipherSuite;;;;;true;false;true;;true;true;true
77fcbf3d99f8274190911356f762f4af1b79ed32;Remove Type;Type;<br>type <code>okhttp3.CertificatePinner</code><br>was removed<br>;;okhttp3.CertificatePinner;;;;;true;false;true;;77fcbf3d99f8274190911356f762f4af1b79ed32;Remove Type;Type;<br>type <code>okhttp3.CertificatePinner</code> <br>was removed<br>;okhttp3.CertificatePinner;okhttp3.CertificatePinner;;;;;true;false;true;;true;true;true
77fcbf3d99f8274190911356f762f4af1b79ed32;Remove Type;Type;<br>type <code>okhttp3.CertificatePinner.Builder</code><br>was removed<br>;;okhttp3.CertificatePinner.Builder;;;;;true;false;true;;77fcbf3d99f8274190911356f762f4af1b79ed32;Remove Type;Type;<br>type <code>okhttp3.CertificatePinner.Builder</code> <br>was removed<br>;okhttp3.CertificatePinner.Builder;okhttp3.CertificatePinner.Builder;;;;;true;false;true;;true;true;true
12174cf508b1abc7d7e6c67d28d05ceda02f5c44;Remove Type;Type;<br>type <code>okhttp3.Cache</code><br>was removed<br>;;okhttp3.Cache;;;;;true;false;true;;12174cf508b1abc7d7e6c67d28d05ceda02f5c44;Remove Type;Type;<br>type <code>okhttp3.Cache</code> <br>was removed<br>;okhttp3.Cache;okhttp3.Cache;;;;;true;false;true;;true;true;true
231ce18fad7b9b494a353a733c36fa9376657481;Remove Type;Type;<br>type <code>okhttp3.Challenge</code><br>was removed<br>;;okhttp3.Challenge;;;;;true;false;true;;231ce18fad7b9b494a353a733c36fa9376657481;Remove Type;Type;<br>type <code>okhttp3.Challenge</code> <br>was removed<br>;okhttp3.Challenge;okhttp3.Challenge;;;;;true;false;true;;true;true;true
5d76a98a8680505db0d0b03d0245b747ec908517;Remove Type;Type;<br>type <code>okhttp3.Address</code><br>was removed<br>;;okhttp3.Address;;;;;true;false;true;;5d76a98a8680505db0d0b03d0245b747ec908517;Remove Type;Type;<br>type <code>okhttp3.Address</code> <br>was removed<br>;okhttp3.Address;okhttp3.Address;;;;;true;false;true;;true;true;true
653a3c163d9c7d08274691bdc7f61dcf3417fbae;Remove Type;Type;<br>type <code>okhttp3.Handshake</code><br>was removed<br>;;okhttp3.Handshake;;;;;true;false;true;;653a3c163d9c7d08274691bdc7f61dcf3417fbae;Remove Type;Type;<br>type <code>okhttp3.Handshake</code> <br>was removed<br>;okhttp3.Handshake;okhttp3.Handshake;;;;;true;false;true;;true;true;true
8492bfb20b0c081674a7805e9d358df66cb21fc3;Remove Type;Type;<br>type <code>okhttp3.Route</code><br>was removed<br>;;okhttp3.Route;;;;;true;false;true;;8492bfb20b0c081674a7805e9d358df66cb21fc3;Remove Type;Type;<br>type <code>okhttp3.Route</code> <br>was removed<br>;okhttp3.Route;okhttp3.Route;;;;;true;false;true;;true;true;true
198c4b540afc1ed655af755411b8fa23650431bf;Remove Type;Type;<br>type <code>okhttp3.Headers.Builder</code><br>was removed<br>;;okhttp3.Headers.Builder;;;;;true;false;false;;198c4b540afc1ed655af755411b8fa23650431bf;Remove Type;Type;<br>type <code>okhttp3.Headers.Builder</code> <br>was removed<br>;okhttp3.Headers.Builder;okhttp3.Headers.Builder;;;;;true;false;false;;true;true;true
198c4b540afc1ed655af755411b8fa23650431bf;Remove Type;Type;<br>type <code>okhttp3.Headers</code><br>was removed<br>;;okhttp3.Headers;;;;;true;false;true;;198c4b540afc1ed655af755411b8fa23650431bf;Remove Type;Type;<br>type <code>okhttp3.Headers</code> <br>was removed<br>;okhttp3.Headers;okhttp3.Headers;;;;;true;false;true;;true;true;true
0ece6afccc69bde9a853a50a0b5d354639a77a45;Remove Type;Type;<br>type <code>okhttp3.Cookie.Builder</code><br>was removed<br>;;okhttp3.Cookie.Builder;;;;;true;false;true;;0ece6afccc69bde9a853a50a0b5d354639a77a45;Remove Type;Type;<br>type <code>okhttp3.Cookie.Builder</code> <br>was removed<br>;okhttp3.Cookie.Builder;okhttp3.Cookie.Builder;;;;;true;false;true;;true;true;true
